gmag  g-r   r-i   rh[pc]            
16.27  0.59  0.30  3.72         
17.53  0.65  0.31  _            
17.47  0.54  0.28  _            
16.46  0.62  0.26  _            
16.81  0.54  0.25  _            
18.01  0.45  0.23  _            
18.75  0.68  0.43  _            
18.64  0.51  0.24  _            
17.86  0.49  0.22 10.67         
18.02  0.57  0.25  _            
17.75  0.59  0.28  _            
18.98  0.43  0.20  _            
19.17  0.79  0.30  _            
17.37  0.56  0.26  _            
17.20  0.69  0.30  _            
18.24  0.71  0.30  _            
17.20  0.58  0.29  _            
16.12  0.60  0.28  _            
17.91  0.52  0.24  _            
19.59  0.59  0.37  _            
18.01  0.57  0.26  _            
19.32  0.49  0.18  _            
18.87  0.54  0.23  _            
19.30  0.94  0.67  _            
18.18  0.65  0.43  _            
18.33  0.55  0.20  _            
19.40  0.64  0.56  _            
19.04  0.73  0.17  _            
18.51  0.67  0.33  _            
18.23  0.63  0.29  2.64         
18.01  1.49  0.78  _            
18.12  0.81  0.41  _            
19.13  0.65  0.30  _            
19.77  0.73  0.21  _            
19.72  1.11  0.46  1.49         
20.28  0.76  0.53  2.78         
19.87  0.83  0.38  0.84         
20.47  1.27  0.42  1.98         
20.27  0.95  0.47  1.57         
20.48  0.77  0.40  _            
18.80  0.64  0.30  2.19         
18.96  0.80  0.45  3.32         
18.83  0.74  0.25  _            
19.04  0.72  0.34  4.07         
19.74  1.05  0.40  _            
20.04  0.59  0.34  _            
19.87  0.52  0.33  _            
20.36  0.70  0.52  _            
20.03  0.76  0.55  3.33         
20.28  1.09  0.54  3.07         
17.96  0.82  0.44  _            
18.61  0.84  0.47  _            
20.01  0.97  0.47  2.02         
18.34  0.87  0.48  4.86         
20.34  0.71  0.41  _            
18.36  0.78  0.30  1.56         
19.49  0.57  0.19  4.44         
19.84  0.57  0.22  _            
19.60  0.79  0.27  _            
17.35  0.61  0.30  2.36         
17.97  0.68  0.39  _            
19.17  0.49  0.26  _            
18.48 -0.03 -0.24  _            
19.38  0.77  0.51  _            
18.54  0.34  0.14  _            
20.14  0.92  0.41  _            
19.43  0.31  0.06  _            
19.30  0.78  0.49  _            
18.34 -0.02 -0.03  _            
18.75  0.74  0.54  _            
19.34  0.43  0.27  _            
18.51  0.40  0.28  _            
18.62  0.40  0.32  _            
18.36  0.88  0.39  _            
18.38  0.74  0.41  _            
17.02  0.65  0.47  _            
18.86  0.61  0.25  _            
19.15  0.79  0.30  _            
18.44  0.95  0.43  _            
17.78  0.52  0.25  _            
17.95  0.70  0.34  _            
18.23  0.50  0.37  _            
18.43  0.26  0.04  _            
16.72  0.67  0.45  _            
18.63  0.79  0.54  _            
16.30 -0.15 -0.14  _            
18.44  1.02  0.57  _            
18.53  0.56  0.07  _            
17.75  0.54  0.18  _            
17.81  0.61  0.30  _            
19.33  0.81  0.35  _            
18.26  0.62  0.21  _            
19.23  0.55  0.37  _            
18.45  0.38  0.12  _            
17.65  0.45  0.23  _            
18.50  0.50  0.09  _            
18.16  0.40  0.24  _            
18.17  1.16  0.45  _            
18.29  1.05  0.46  _            
18.23  1.12  0.50  _            
18.50  1.05  0.43  _            
17.43  0.60  0.28  _            
18.34  1.13  0.50  _            
19.09  1.14  0.45  _            
18.65  1.05  0.51  _            
18.16  0.58  0.31  _            
21.54  0.08  0.77  _            
18.50  0.61  0.36  _            
18.16  0.61 -1.17  _            
18.82  0.73  0.40  _            
18.13  0.98  0.40  _            
18.01  0.68  0.39  _            
18.69  0.68  0.50  _            
19.60  0.46  0.11  _            
19.59  0.76  0.48  _            
18.81  0.75  0.41  _            
19.37  0.87  0.49  _            
18.51  0.23  0.24  _            
17.07 -0.22  0.14  _            
20.47  0.80  0.63  _            
22.17  2.10  0.66  _            
20.60  0.69  0.49  _            
18.68 -0.03  0.11  _            
20.02  0.60  0.51  _            
19.80  0.40  0.17  _            
20.49  0.83  0.34  _            
19.26  0.58  0.35  _            
19.94  1.37  0.47  _            
19.87  0.16 -0.18  _            
19.11  1.04  0.46  _            
19.03  0.77  0.51  _            
18.86  0.17  0.15  _            
19.39  0.86  0.21  _            
19.85  0.99  0.63  _            
19.26  0.88  0.29  _            
19.14  0.17 -0.22  _            
19.72  0.95  0.50  _            
19.35  0.36  0.37  _            
17.30  0.32  0.18  _            
18.74 -0.25 -0.25  _            
16.73  0.45  0.35  _            
18.65  0.83  0.39  _            
19.23  0.84  0.42  _            
19.55  0.55  0.20  _            
18.14  0.36  0.25  _            
19.39  1.31  0.47  _            
17.15  0.70  0.34  _            
19.99  1.12  0.45  _            
20.01  1.28  0.59  _            
19.51  1.24  0.53  _            
19.52  0.85  0.50  _            
19.28  0.94  0.41  _            
19.75  1.06  0.48  _            
19.47  1.51  0.59  _            
18.78  0.99  0.44  _            
20.27  1.27  0.52  _            
18.88  1.26  0.51  _            
19.09  0.96  0.48  _            
19.46  0.98  0.41  _            
19.72  0.63  0.40  _            
19.86  1.21  0.50  _            
18.72  1.30  0.52  _            
19.93  0.87  0.39  _            
19.49  1.11  0.51  _            
19.72  1.08  0.46  _            
19.50  1.21  0.48  _            
19.16  1.24  0.47  _            
18.82  1.12  0.46  _            
20.22  1.20  0.47  _            
19.55  0.83  0.50  _            
19.47  1.11  0.44  _            
19.94  1.37  0.51  _            
19.94  0.52  0.20  _            
19.42  1.05  0.43  _            
19.57  1.47  0.53  _            
19.36  1.32  0.49  _            
19.46  0.53  0.22  _            
19.87  1.04  0.57  _            
19.29  0.54  0.43  _            
19.82  0.94  0.48  _            
19.62  0.54  0.18  _            
19.63  1.29  0.53  _            
19.72  0.41  0.14  _            
22.24  1.63  0.81  _            
17.73  0.62  0.23  _            
20.75  1.36  0.41  _            
18.81  1.11  0.48  _            
20.55  1.17  0.51  _            
20.20  1.28  0.58  _            
19.28  1.33  0.54  _            
19.36  0.56  0.26  _            
20.65  1.38  0.86  _            
19.94  0.30  0.24  _            
20.50  1.03  0.46  _            
19.75  1.11  0.57  _            
18.71  0.91  0.45  _            
18.30  0.11  0.14  _            
19.99  0.91  0.30  _            
19.32  1.19  0.65  _            
19.50  0.52  0.44  _            
20.71  1.36  0.82  _            
18.53  1.13  0.49  _            
21.03  1.79  0.56  _            
20.54  1.16  0.34  _            
19.98  1.21  0.55  _            
19.91  1.20  0.42  _            
20.05  0.49  0.12  _            
19.91  1.31  0.50  _            
21.10  1.71  0.58  _            
18.62  0.87  0.34  _            
21.08  1.07  0.57  _            
19.49  0.95  0.47  _            
21.04  1.54  0.44  _            
19.70  1.01  0.44  _            
20.49  0.49  0.22  _            
20.06  0.71  0.30  _            
20.00  0.84  0.25  _            
21.00  1.52  0.50  _            
19.93  1.25  0.50  _            
18.14  0.09  0.01  _            
19.06  0.11  0.27  _            
19.51  1.02  0.43  _            
19.16  0.82  0.40  _            
19.22  0.74  0.31  _            
19.04  1.21  0.66  _            
18.99  0.03 -0.08  _            
19.92  1.35  0.52  _            
18.18  1.01  0.55  _            
19.04  0.84  0.41  _            
19.37  1.07  0.50  _            
18.97  0.39  0.11  _            
19.74  1.41  0.58  _            
19.21  0.26  0.01  _            
19.88  0.41  0.09  _            
19.74  0.55  0.04  _            
19.86  0.78  0.19  _            
20.74  1.44  0.62  _            
19.84  0.56  0.37  _            
19.45  0.44  0.05  _            
18.83  0.29  0.24  _            
20.16  1.45  0.97  _            
19.83  0.51  0.30  _            
19.68  0.93  0.56  _            
19.43  1.23  0.36  _            
19.73  0.70  0.31  _            
19.51  0.90  0.27  _            
20.23  0.67  0.71  _            
19.95  0.64  0.19  _            
20.22  1.13  0.50  _            
20.10  1.14  0.39  _            
18.60  0.96  0.50  _            
20.26  0.41  0.08  _            
19.42  1.27  0.62  _            
19.67  0.84  0.39  _            
20.35  0.71  0.42  _            
20.07  1.30  0.53  _            
19.35  0.37  0.21  _            
18.62  0.97  0.44  _            
19.57  1.32  0.57  _            
19.28  1.05  0.42  _            
19.49  0.87  0.47  _            
19.40  0.56  0.40  _            
18.77  0.72  0.51  _            
21.16  1.92  0.65  _            
17.96 -0.06  0.03  _            
20.10  1.21  0.39  _            
19.21  0.45 -0.01  _            
19.44  0.82  0.41  _            
20.35  1.11  0.47  _            
20.49  1.16  0.40  _            
18.88  0.90  0.61  _            
19.19  1.08  0.50  _            
16.05  0.85  0.30  _            
19.70  0.98  0.51  _            
19.33  0.31  0.21  _            
19.42  0.98  0.58  _            
19.78  0.51  0.36  _            
20.23  1.01  0.56  _            
19.45  0.70  0.51  _            
19.81  1.66  0.58  _            
19.27  0.52  0.24  _            
20.20  1.67  0.90  _            
16.29  0.17  0.00  _            
19.19  1.32  0.55  _            
20.48  1.15  0.45  _            
19.96  1.50  0.96  _            
19.11  0.47  0.21  _            
19.59  1.47  0.54  _            
18.67  1.23  0.52  _            
16.81  0.73 -0.73  _            
21.38  1.66  0.66  _            
20.43  0.61  0.12  _            
20.28  1.47  0.61  _            
