#  myV_F606W  myV_F606We    mycalr_h   mycalr_he
#
       24.24      0.0365       1.471       1.126
       23.82      0.0277       2.042      0.7779
        23.3       0.021       2.015      0.4917
       22.82      0.0159      0.5126      0.2519
       23.08      0.0189       1.626      0.3817
       23.23      0.0178      0.0578      0.3829
       23.43       0.019       1.446      0.6071
       23.76      0.0297      0.6779        1.17
       25.24      0.0495       1.336       1.924
       23.53      0.0193        1.02      0.3562
       24.54      0.0437       1.961       1.394
       24.04      0.0309           0       1.097
       22.39      0.0167           0      0.4675
       23.74      0.0194       1.953      0.6514
       22.46      0.0529       3.345      0.8576
       23.65      0.0261       1.614       0.909
       23.42      0.0205       1.316      0.4161
       23.63      0.0202       1.807      0.4864
       23.08        0.02           -1           -1
       20.96      0.0177           0      0.5899
       22.78      0.0176       1.911      0.2793
       22.46      0.0158      0.7911      0.1986
       24.58      0.0351           0       1.054
       23.17      0.0176       3.238      0.6085
          24      0.0318       1.595      0.9622
       22.46      0.0182      0.3625      0.4036
       23.75      0.0258       1.792      0.6822
       21.17      0.0123       1.637           0
       21.57      0.0153      0.5155      0.1604
       24.24      0.0333       1.646      0.8611
       24.11      0.0269       1.288       1.065
       23.47      0.0238       1.626      0.5462
       23.26      0.0182       1.886      0.3971
        21.3       0.013       2.057           0
       22.47      0.0154      0.7833      0.2305
       22.46      0.0157           0      0.2484
       23.44      0.0205       2.046      0.5986
       24.39      0.0364      0.1725       1.161
       21.99      0.0133       1.248           0
       24.13      0.0329       1.398       1.626
       23.89      0.0275       1.421      0.8665
        23.7       0.025      0.2649       0.632
       23.87      0.0228      0.2714      0.5899
       24.91      0.0502        2.07       1.701
       22.99      0.0163      0.8671      0.2854
       25.12      0.0499           0           0
       23.21      0.0191      0.8946      0.4078
       24.91      0.0528       2.128       2.916
        24.6      0.0405       1.754       1.223
       23.33      0.0183       1.503      0.3692
       25.52      0.0742           0           0
       23.44      0.0217      0.5216      0.5351
       24.69       0.045       1.456       1.193
       22.69      0.0144       2.873      0.4057
        23.3      0.0172     0.09644      0.3338
       24.49      0.0372           -1           -1
       24.56      0.0391       1.026       1.197
       22.38      0.0145           -1           -1
       24.33      0.0332       1.678       1.141
        23.6      0.0222           -1           -1
       23.09      0.0183       0.648      0.3884
       22.92      0.0171           -1           -1
       24.44      0.0349       162.3        6841
       24.15      0.0262       3.131       2.139
       23.83      0.0221      0.4077      0.6071
       24.94      0.0562       2.263       2.217
       24.03      0.0291       2.074       0.759
       23.76      0.0221           -1           -1
       21.81      0.0135       2.023      0.1757
       22.68      0.0156      0.5036      0.2602
       23.51      0.0215       1.675      0.4864
       23.64       0.024           -1           -1
       22.87      0.0158       2.541      0.3247
       24.28      0.0281       1.161      0.8526
       24.12      0.0287     0.09991         295
       23.07      0.0167       2.402      0.3784
       22.76      0.0182      0.1928      0.2957
       22.94      0.0167       1.755      0.3726
       23.25      0.0183       1.759      0.3928
       24.02       0.024      0.3557      0.6085
       24.02      0.0265       1.172       0.729
       23.33      0.0185      0.8945      0.3795
       24.08      0.0289      0.3668      0.7464
       23.69      0.0224           -1           -1
       25.06      0.0495       1.367        1.89
       23.86      0.0231       1.954           0
        22.5      0.0153       1.746      0.2379
       24.74      0.0396       2.687       1.405
        23.3      0.0179      0.5113      0.3513
       21.64      0.0136      0.6097           0
       24.42      0.0323      0.7302       1.001
        23.5      0.0193       1.452      0.4536
          24      0.0227         1.9      0.9532
       23.96      0.0229       1.116      0.6313
       24.47      0.0305           -1           -1
       24.12      0.0264       1.527      0.7453
       23.19      0.0176       1.464      0.3098
       24.38      0.0279       2.374      0.8486
       24.28      0.0284       2.116       4.731
       22.89      0.0152       1.068      0.2519
