#  myV_F606W  myV_F606We    mycalr_h   mycalr_he
#
       25.61      0.0513           0           0
        24.8      0.0326       2.749      0.7937
       21.93      0.0163       3.765           0
       24.66      0.0291       4.504       1.028
       23.63      0.0219       1.351      0.2762
       25.66      0.0553       0.398       17.61
       21.06      0.0229           0       0.445
       24.58      0.0309           -1           -1
       23.64      0.0213       1.405      0.2699
       22.84      0.0177       1.859      0.2586
       25.23      0.0401       3.317       1.445
       23.17      0.0187       3.363      0.3286
       22.77      0.0182       2.189       0.207
       24.06       0.024       1.285      0.5509
       21.49      0.0174       1.979           0
       21.67      0.0167       2.332           0
          23      0.0194       1.787      0.2942
       23.16      0.0201       1.506      0.2651
       25.07      0.0373       2.617       3.258
       23.62       0.022       2.384      0.3014
        25.4      0.0455       2.454       1.306
       24.28      0.0249       2.541      0.6791
        21.4      0.0166       1.815           0
        22.2      0.0183       2.152           0
       23.09      0.0196       1.456      0.2884
       23.16        0.02       1.016      0.3029
       22.84      0.0191           -1           -1
       24.96       0.036      0.9455       1.216
       25.01      0.0378       1.868      0.9203
       25.08      0.0395           0           0
       22.32      0.0176       2.236      0.1682
       21.62      0.0241           0      0.3234
       25.58      0.0547       1.555       4.044
       25.47      0.0444           -1           -1
       24.02      0.0256      0.4428      0.4323
       24.71       0.031        2.43      0.9165
       24.48      0.0273       3.321      0.6841
       25.19      0.0401       2.259       1.016
       22.95      0.0176       3.579      0.3126
       24.98      0.0398           0       2.606
       23.56      0.0198       3.804      0.3928
       24.48      0.0286           -1           -1
       24.21      0.0258       1.254      0.4629
       24.45      0.0307           -1           -1
        22.8      0.0207       1.437      0.2171
       23.07      0.0203       1.034           0
        23.6      0.0207       2.554      0.4601
       24.76      0.0311           -1           -1
       22.33      0.0193           -1           -1
       21.98      0.0176       1.921           0
       24.71      0.0303           0           0
       22.71      0.0202       1.397      0.2305
       23.08      0.0211       2.324      0.2619
       24.37      0.0265       2.513      0.6683
       23.78      0.0249           -1           -1
       23.14      0.0193       4.423      0.3513
       23.94      0.0222           -1           -1
