# This is the online version of Table 2 of G2C2 I (Vanderbeke et al. 2013): magnitudes based on CTIO data. 
# Default values are -100 in the table below. 
# Columns are ID, g, sigma_g, r, sigma_r, i, sigma_i, z, sigma_z, CMD_g, CMD_r, CMD_i, CMD_z,
# with CMD_{g,r,i,z} the applied magnitude corrections to clean foreground stars based on the CMDs. 

NGC6981     ,     10.132     ,      0.031     ,      9.666     ,      0.045     ,      9.391     ,      0.045     ,      9.213     ,      0.046     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
NGC7006     ,     11.357     ,      0.030     , -100     , -100     , -100     , -100     ,     10.423     ,      0.045     ,      0.03     , -100     , -100     ,      0.02  
NGC7078     ,      7.101     ,      0.030     ,      6.692     ,      0.044     ,      6.439     ,      0.044     ,      6.288     ,      0.044     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
NGC7089     ,      7.297     ,      0.030     ,      6.836     ,      0.044     ,      6.567     ,      0.044     ,      6.384     ,      0.044     ,      0.00     ,      0.01     ,      0.00     ,      0.00  
NGC7099     ,      8.306     ,      0.030     , -100     , -100     , -100     , -100     ,      7.501     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
  Pal12     ,     12.489     ,      0.030     ,     11.826     ,      0.043     ,     11.482     ,      0.044     ,     11.345     ,      0.045     ,      1.38     ,      1.24     ,      1.15     ,      1.06  
  Pal13     ,     15.938     ,      0.040     ,     15.690     ,      0.048     ,     15.244     ,      0.051     ,     15.843     ,      0.112     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
NGC7492     ,     12.197     ,      0.038     ,     11.824     ,      0.045     ,     11.570     ,      0.044     ,     11.560     ,      0.046     ,      0.00     ,      0.00     ,      0.00     ,      0.00  


