|                ID |            RA |            DEC |      RA_hms |      DEC_dms |
| NGFS034112-360409 |     55.299609 |     -36.069294 | 03:41:11.91 | -36:04:09.46 |
| NGFS034115-352703 |     55.311188 |     -35.450948 | 03:41:14.69 | -35:27:03.41 |
| NGFS034117-353854 |     55.322093 |     -35.648292 | 03:41:17.30 | -35:38:53.85 |
| NGFS034121-355655 |     55.339077 |     -35.948656 | 03:41:21.38 | -35:56:55.16 |
| NGFS034123-350020 |     55.344006 |     -35.005584 | 03:41:22.56 | -35:00:20.10 |
| NGFS034123-355348 |     55.345187 |     -35.896656 | 03:41:22.84 | -35:53:47.96 |
| NGFS034124-354548 |     55.348314 |     -35.763366 | 03:41:23.60 | -35:45:48.12 |
| NGFS034124-360450 |     55.349458 |     -36.080581 | 03:41:23.87 | -36:04:50.09 |
| NGFS034126-352247 |     55.359895 |     -35.379584 | 03:41:26.37 | -35:22:46.50 |
| NGFS034127-345500 |     55.362062 |     -34.916582 | 03:41:26.89 | -34:54:59.70 |
| NGFS034128-354313 |     55.366334 |     -35.720336 | 03:41:27.92 | -35:43:13.21 |
| NGFS034141-352108 |     55.419261 |      -35.35229 | 03:41:40.62 | -35:21:08.24 |
| NGFS034146-353055 |     55.443722 |      -35.51536 | 03:41:46.49 | -35:30:55.30 |
| NGFS034150-353207 |     55.458626 |     -35.535276 | 03:41:50.07 | -35:32:06.99 |
| NGFS034153-345251 |     55.472189 |     -34.880948 | 03:41:53.33 | -34:52:51.41 |
| NGFS034157-355322 |     55.485605 |     -35.889438 | 03:41:56.55 | -35:53:21.98 |
| NGFS034157-351733 |     55.488894 |     -35.292364 | 03:41:57.33 | -35:17:32.51 |
| NGFS034211-352635 |      55.54654 |     -35.443142 | 03:42:11.17 | -35:26:35.31 |
| NGFS034219-353340 |     55.579554 |     -35.561026 | 03:42:19.09 | -35:33:39.69 |
| NGFS034233-353155 |     55.637498 |     -35.531854 | 03:42:33.00 | -35:31:54.67 |
| NGFS034235-355906 |     55.646015 |     -35.985095 | 03:42:35.04 | -35:59:06.34 |
| NGFS034237-355721 |     55.653783 |     -35.955917 | 03:42:36.91 | -35:57:21.30 |
| NGFS034239-355205 |     55.660661 |     -35.868071 | 03:42:38.56 | -35:52:05.06 |
| NGFS034239-354551 |     55.661102 |     -35.764146 | 03:42:38.66 | -35:45:50.93 |
| NGFS034243-353226 |      55.67897 |     -35.540671 | 03:42:42.95 | -35:32:26.42 |
| NGFS034247-352323 |     55.696985 |     -35.389707 | 03:42:47.28 | -35:23:22.95 |
| NGFS034300-353809 |     55.751894 |     -35.635791 | 03:43:00.45 | -35:38:08.85 |
| NGFS034314-353109 |     55.806295 |     -35.519108 | 03:43:13.51 | -35:31:08.79 |
| NGFS034335-354028 |     55.897636 |     -35.674368 | 03:43:35.43 | -35:40:27.72 |
|            FCC131 |     53.550538 |     -35.228691 | 03:34:12.13 | -35:13:43.29 |
|            FCC187 | 54.2696700131 | -34.6016967478 | 03:37:04.72 | -34:36:06.11 |
|            FCC246 |     55.157215 |     -36.121158 | 03:40:37.73 | -36:07:16.17 |
|            FCC191 |     54.291531 |     -35.386672 | 03:37:09.97 | -35:23:12.02 |
|            FCC192 |     54.292896 |     -35.888095 | 03:37:10.30 | -35:53:17.14 |
|            FCC141 | 53.7380401719 |  -35.205172675 | 03:34:57.13 | -35:12:18.62 |
|            FCC196 |     54.391709 |     -35.829211 | 03:37:34.01 | -35:49:45.16 |
|            FCC259 |     55.279993 |     -35.514436 | 03:41:07.20 | -35:30:51.97 |
|            FCC244 |     55.127717 |      -35.87795 | 03:40:30.65 | -35:52:40.62 |
|            FCC218 |       54.6889 |     -35.266646 | 03:38:45.34 | -35:15:59.93 |
|            FCC194 |       54.3246 |       -35.6992 | 03:37:17.90 | -35:41:57.12 |
|            FCC162 | 54.0302724627 |  -35.432153345 | 03:36:07.27 | -35:25:55.75 |
|            FCC165 |     54.098334 |     -35.911538 | 03:36:23.60 | -35:54:41.54 |
|            FCC168 |     54.116498 |     -35.210838 | 03:36:27.96 | -35:12:39.02 |
|            FCC229 |     54.980814 |     -35.661947 | 03:39:55.40 | -35:39:43.01 |
|            FCC236 |     55.040341 |     -35.836294 | 03:40:09.68 | -35:50:10.66 |
