# ID RA DEC FCC Mem MType BTmag
FCC221 54.773508368237515 -36.097314044875475 221 2 dE4,N 17.7
FCC222 54.805246 -35.371481 222 1 dN 15.6
FCC223 54.83107185714519 -35.7233714005337 223 1 dE0,N 16.2
FCC225 54.906699273184074 -36.552014013564296 225 2 dE4 19.6
FCC226 54.958767099731716 -35.02109264795853 226 1 dE? 17.8
FCC227 54.95869898539798 -35.52109784207739 227 1 dE0,N? 19.3
FCC228 54.963640794014296 -35.320559711171505 228 1 dE0 18.8
FCC229 54.97989838525335 -35.66090580691809 229 1 dN 19.1
FCC230 55.005457 -34.758155 230 1 d 17.2
FCC231 55.01867366924511 -34.16604366917918 231 1 dE0,N? 18.4
FCC232 55.03042363381055 -32.317737876739564 232 1 dE7,N 17.4
FCC234 55.04116931046792 -34.44502493901699 234 1 dE5,N 17.2
FCC236 55.040807979437396 -35.83476089437119 236 2 dN 19.2
FCC237 55.078695943090295 -33.420163309612285 237 1 dE3 17.8
FCC238 55.071428 -36.534886 238 2 dN 18.7
FCC239 55.07709442353136 -37.498257505893385 239 2 dE5 18.9
FCC241 55.09698582891924 -35.274422547925745 241 1 dE0,N 16.6
FCC242 55.085742328138586 -37.64273804573884 242 1 dE5 17.8
FCC243 55.1124 -36.499083 243 1 dN 16.5
FCC244 55.1274647978525 -35.87621714725922 244 2 dN 18.2
FCC245 55.140862 -35.022865 245 1 dN 16.0
FCC246 55.156339444986735 -36.11966814322205 246 1 dN 19.1
FCC247 55.17576267045095 -35.65974033171673 247 1 "dE3 / Im?" 17.8
FCC248 55.18037640475971 -35.85948315330471 248 2 dE3 18.7
FCC250 55.184111575270705 -37.406737950565976 250 1 dE1 17.1
FCC251 55.20619341096711 -35.0220767180997 251 1 dE0 19.0
FCC252 55.209934 -35.74846 252 1 dN 16.0
FCC253 55.23002689728791 -37.83664817089491 253 1 dE5,N? 16.3
FCC254 55.25261939591682 -35.740602971337836 254 1 dE0,N 17.6
FCC256 55.26523839756432 -34.95314457151316 256 1 dE3 20.1
FCC257 55.26649823777892 -35.645935014545394 257 2 d 18.1
FCC258 55.27913047893615 -35.68876363028846 258 1 dE2 19.6
FCC259 55.28060335541682 -35.513489773838806 259 2 dN 17.8
FCC260 55.3027005902328 -35.15690727854932 260 1 dE0,N 17.0
FCC261 55.33913106536194 -33.76787092291594 261 1 "dE3 pec,N / ImIV" 15.8
FCC262 55.33869110360629 -35.94705963624989 262 1 dE1 17.8
FCC264 55.381966 -35.589611 264 1 dS0 16.8
FCC265 55.42686256627973 -33.482940303490366 265 1 dE5 18.1
FCC266 55.421939 -35.170375 266 1 dN 15.9
FCC268 55.45716913233365 -36.6286515847973 268 2 dE1 18.3
FCC269 55.488617959852085 -35.29070658418274 269 1 dE0 18.3
FCC270 55.4995026893042 -37.63272143498912 270 2 dE 19.7
FCC271 55.52536018092618 -34.84807081091586 271 1 dE1 18.7
FCC272 55.545509583732695 -35.442324636202876 272 1 dE 19.2
FCC273 55.56512073849849 -34.453503304565395 273 2 dE2 18.8
FCC274 55.571741 -35.540775 274 1 dN 16.5
FCC275 55.578486544527294 -35.559402318385175 275 1 dE 19.3
FCC278 55.61303544347513 -33.869244289037596 278 2 dE6,N 16.8
FCC279 55.609417835818356 -36.685650064290655 279 1 dE0,N 16.7
FCC280 55.65343156569695 -35.95442902541559 280 1 dE1 18.6
FCC281 55.66062244379295 -35.86640127275599 281 1 dE1 17.9
FCC283 55.66364088210985 -38.228663311640794 283 2 dE2 17.8
FCC284 55.72825787962761 -35.341944161919145 284 2 dE1 19.0
FCC286 55.80230800081283 -34.641677799531394 286 1 dE0,N? 18.1
FCC287 55.80579537090939 -35.517257091063335 287 2 dE0 18.0
FCC288 55.84429430740478 -33.937394165317805 288 1 dS0(9),N 15.4
FCC289 55.84608186721453 -34.693798480957724 289 1 dE0 18.7
FCC291 55.91491554491129 -35.214358462754596 291 2 dE5 19.4
FCC292 55.97633151200792 -33.03985937591216 292 1 dE6,N? 17.1
FCC293 56.10439665628847 -35.8551278380602 293 1 dE1,N 17.6
FCC294 56.11304881035568 -35.66432716370068 294 1 dE1,N? 17.2
FCC295 56.12432222987059 -35.17686704102271 295 2 dE0 18.9
FCC296 56.13669247695876 -35.19441706294543 296 1 dE1,N 16.3
FCC297 56.16308853227473 -35.98119903940981 297 1 dE1 17.8
FCC298 56.18446728211204 -35.68211509541108 298 2 dE2,N 16.6
FCC300 56.249164837597434 -36.31793886200501 300 1 dE4,N 16.1
FCC303 56.308086329081654 -36.9354061202151 303 1 dE1,N 15.5
FCC304 56.37788192886011 -34.503715542742576 304 1 dE1 18.8
FCC305 56.39032614044241 -37.081295557974975 305 1 "dS0  (6)" 15.7
FCC307 56.44858328607496 -35.059007479236726 307 1 dE3 17.7
FCC309 56.53376815274891 -36.821316974249925 309 1 dE2 17.5
FCC311 56.57524045190239 -33.762005435238315 311 1 dS0(8),N 16.9
FCC313 56.63881600993512 -34.6844953846997 313 1 dS0(9) 17.4
FCC314 56.655962859813414 -37.157927047145506 314 1 dE2,N 16.5
FCC316 56.75575410993851 -36.43610087578348 316 1 dE3,N 16.3
