				ID												RA											DEC								RAh	RAm	RAs			DECd	DECm	DECs							mag									mag_err				reff								reff_err					sersic_n				sersic_n_error			elon				elon_err					PA							PA_err								flag
54_174061_34_710967              54.174171              -34.711461           03 36 41.80     -34 42 41.3                    19.90              0.00           19.46              0.31              0.87              0.03              0.58              0.01       -4.18           1.24                    new                                                          
54_182920_36_061547              54.182443              -36.062021           03 36 43.79     -36 03 43.3                    22.93              0.00            7.02              0.73              1.70              0.37              0.60              0.08      -74.16           9.80                    new                                                          
54_191855_35_923963              54.191307              -35.924264           03 36 45.91     -35 55 27.4                    21.86              0.00            8.48              0.30              0.57              0.06              0.78              0.04       33.67           6.87                    new                                                          
54_205317_36_230112              54.204847              -36.229999           03 36 49.16     -36 13 48.0                    17.04              0.00           57.53              0.19              1.03              0.01              0.33              0.00       83.60           0.09                    new                                                          
54_207702_34_948430              54.208147              -34.948504           03 36 49.96     -34 56 54.6                    18.48              0.00            7.90              0.02              1.38              0.01              0.66              0.00      -84.18           0.22                    new                                                          
54_217901_36_144548              54.217835              -36.144507           03 36 52.28     -36 08 40.2                    22.90              0.00            6.86              0.56              1.15              0.24              0.61              0.07      -20.16           8.10                    new                                                          
54_225304_35_927857              54.225296              -35.928023           03 36 54.07     -35 55 40.9                    21.83              0.04            6.55              0.34              1.10              0.09              0.87              0.03        2.20          11.36                    old                                                          
54_226584_35_746638              54.226572              -35.747144           03 36 54.38     -35 44 49.7                    20.42              0.01           20.05              0.40              0.66              0.03              0.46              0.01      -30.27           0.91                    old                                                          
54_229175_36_353167              54.228827              -36.353391           03 36 54.92     -36 21 12.2                    20.57              0.02           15.13              0.41              0.62              0.04              0.77              0.02       50.00           3.61                    old                                                          
54_229207_35_944156              54.229109              -35.944392           03 36 54.99     -35 56 39.8                    21.66              0.03            9.40              0.42              0.73              0.06              0.87              0.03      -34.52          11.17                    old                                                          
54_303837_36_257890              54.303830              -36.257890           03 37 12.92     -36 15 28.4                    19.79              0.01           23.96              0.42              0.82              0.02              0.58              0.01      -86.99           1.07                    old                                                          
54_312696_34_701092              54.312749              -34.701412           03 37 15.06     -34 42 05.1                    21.22              0.00            6.29              0.15              1.04              0.06              0.98              0.03      -76.27          66.85                    new                                                          
54_315217_35_357873              54.315355              -35.358242           03 37 15.69     -35 21 29.7                    21.03              0.00           20.56              0.57              0.47              0.04              0.54              0.02        8.93           2.07                    new                                                          
