|                ID |           RA |          DEC |      RA_hms |      DEC_dms |    m_i |    M_i | sersic_n | reff_arcsec | reff_kpc |
| NGFS033627-353821 |    54.110988 |   -35.639164 | 03:36:26.64 | -35:38:20.99 |  22.16 |  -9.38 |     0.61 |       2.343 |    0.574 |
|            FCC169 |    54.128380 |   -34.798487 | 03:36:30.81 | -34:47:54.55 |    nan |    nan |      nan |         nan |      nan |
| NGFS033631-362248 |    54.130173 |   -36.380022 | 03:36:31.24 | -36:22:48.08 |  21.96 |  -9.58 |     1.60 |       1.462 |    0.568 |
| NGFS033633-360804 |    54.135644 |   -36.134365 | 03:36:32.55 | -36:08:03.71 |  21.65 |  -9.89 |     0.69 |       1.667 |    0.560 |
| NGFS033639-353641 |    54.160631 |   -35.611326 | 03:36:38.55 | -35:36:40.77 |  20.39 | -11.15 |     0.86 |       6.099 |    0.528 |
| NGFS033641-353520 |    54.169379 |   -35.588968 | 03:36:40.65 | -35:35:20.28 |    nan |    nan |      nan |         nan |      nan |
| NGFS033642-344241 |    54.174171 |   -34.711461 | 03:36:41.80 | -34:42:41.26 |  19.90 | -11.64 |     0.87 |       5.118 |    0.515 |
|            FCC175 |    54.179157 |   -35.435803 | 03:36:43.00 | -35:26:08.89 |    nan |    nan |      nan |         nan |      nan |
| NGFS033644-360343 |    54.182443 |   -36.062021 | 03:36:43.79 | -36:03:43.28 |  22.93 |  -8.61 |     1.70 |       1.846 |    0.594 |
| NGFS033646-355527 |    54.191307 |   -35.924264 | 03:36:45.91 | -35:55:27.35 |  21.86 |  -9.68 |     0.57 |       2.230 |    0.566 |
|            FCC180 |    54.204847 |   -36.229999 | 03:36:49.16 | -36:13:48.00 |  17.04 | -14.50 |     1.03 |      15.130 |    0.441 |
| NGFS033650-345655 |    54.208147 |   -34.948504 | 03:36:49.96 | -34:56:54.61 |  18.48 | -13.06 |     1.38 |       2.078 |    0.478 |
| NGFS033652-360840 |    54.217835 |   -36.144507 | 03:36:52.28 | -36:08:40.23 |  22.90 |  -8.64 |     1.15 |       1.804 |    0.593 |
| NGFS033654-355541 |    54.225296 |   -35.928023 | 03:36:54.07 | -35:55:40.88 |  21.83 |  -9.71 |     1.10 |       1.723 |    0.565 |
| NGFS033654-354450 |    54.226572 |   -35.747144 | 03:36:54.38 | -35:44:49.72 |  20.42 | -11.12 |     0.66 |       5.273 |    0.529 |
| NGFS033655-362112 |    54.228827 |   -36.353391 | 03:36:54.92 | -36:21:12.21 |  20.57 | -10.97 |     0.62 |       3.979 |    0.532 |
| NGFS033655-355640 |    54.229109 |   -35.944392 | 03:36:54.99 | -35:56:39.81 |  21.66 |  -9.88 |     0.73 |       2.472 |    0.561 |
|            FCC185 |    54.261056 |   -34.875774 | 03:37:02.65 | -34:52:32.79 |    nan |    nan |      nan |         nan |      nan |
| NGFS033713-361528 |    54.303830 |   -36.257890 | 03:37:12.92 | -36:15:28.40 |  19.79 | -11.75 |     0.82 |       6.301 |    0.512 |
| NGFS033715-344205 |    54.312749 |   -34.701412 | 03:37:15.06 | -34:42:05.08 |  21.22 | -10.32 |     1.04 |       1.654 |    0.549 |
| NGFS033716-352130 |    54.315355 |   -35.358242 | 03:37:15.69 | -35:21:29.67 |  21.03 | -10.51 |     0.47 |       5.407 |    0.544 |
| NGFS033716-354701 |    54.315665 |   -35.783657 | 03:37:15.76 | -35:47:01.17 |  22.03 |  -9.51 |     0.60 |       3.074 |    0.570 |
| NGFS033720-353118 |    54.332849 |   -35.521601 | 03:37:19.88 | -35:31:17.76 |  20.63 | -10.91 |     2.27 |       2.596 |    0.534 |
|            FCC195 |    54.346543 |   -34.900292 | 03:37:23.17 | -34:54:01.05 |    nan |    nan |      nan |         nan |      nan |
| NGFS033735-343400 |    54.393832 |   -34.566501 | 03:37:34.52 | -34:33:59.40 |  20.34 | -11.20 |     0.86 |       5.265 |    0.526 |
| NGFS033737-344430 |    54.403584 |   -34.741585 | 03:37:36.86 | -34:44:29.71 |  19.98 | -11.56 |     1.13 |       2.015 |    0.517 |
| NGFS033738-352308 |    54.410400 |   -35.385500 | 03:37:38.50 | -35:23:07.80 |  20.00 | -11.54 |     0.76 |       4.997 |    0.518 |
|            FCC197 |    54.421200 |   -35.296146 | 03:37:41.09 | -35:17:46.13 |  18.61 | -12.93 |     0.79 |       5.873 |    0.482 |
| NGFS033741-361026 |    54.420634 |   -36.173910 | 03:37:40.95 | -36:10:26.08 |  20.44 | -11.10 |     0.77 |       8.132 |    0.529 |
| NGFS033742-355721 |    54.424789 |   -35.955757 | 03:37:41.95 | -35:57:20.73 |  19.58 | -11.96 |     0.84 |      10.270 |    0.507 |
| NGFS033744-354214 |    54.435199 |   -35.703984 | 03:37:44.45 | -35:42:14.34 |  20.38 | -11.16 |     0.59 |       3.456 |    0.528 |
| NGFS033750-353302 |    54.457799 |   -35.550438 | 03:37:49.87 | -35:33:01.58 |  21.76 |  -9.78 |     0.50 |       3.232 |    0.563 |
| NGFS033751-352146 |    54.462119 |   -35.362881 | 03:37:50.91 | -35:21:46.37 |  21.52 | -10.02 |     0.48 |       4.603 |    0.557 |
|            FCC200 |    54.477823 |   -34.882293 | 03:37:54.68 | -34:52:56.25 |  16.56 | -14.98 |     1.32 |       8.587 |    0.429 |
| NGFS033806-360301 |    54.526090 |   -36.050146 | 03:38:06.26 | -36:03:00.53 |  19.98 | -11.56 |     0.67 |       4.016 |    0.517 |
| NGFS033807-353531 |    54.527900 |   -35.592000 | 03:38:06.70 | -35:35:31.20 |  22.41 |  -9.13 |     0.55 |       2.998 |    0.580 |
| NGFS033808-360420 |    54.531330 |   -36.072092 | 03:38:07.52 | -36:04:19.53 |  22.73 |  -8.81 |     0.71 |       4.108 |    0.588 |
| NGFS033808-360030 |    54.535271 |   -36.008354 | 03:38:08.47 | -36:00:30.07 |  21.24 | -10.30 |     0.80 |       3.387 |    0.550 |
| NGFS033809-350954 |    54.535921 |   -35.165108 | 03:38:08.62 | -35:09:54.39 |  20.26 | -11.28 |     0.41 |       6.112 |    0.524 |
| NGFS033811-362016 |    54.545856 |   -36.337657 | 03:38:11.01 | -36:20:15.57 |  20.67 | -10.87 |     0.49 |       4.837 |    0.535 |
| NGFS033815-350722 |    54.562036 |   -35.122848 | 03:38:14.89 | -35:07:22.25 |  21.24 | -10.30 |     0.71 |       4.368 |    0.550 |
| NGFS033815-361652 |    54.564160 |   -36.281169 | 03:38:15.40 | -36:16:52.21 |  20.31 | -11.23 |     0.59 |       6.517 |    0.526 |
| NGFS033818-344028 |    54.575622 |   -34.674438 | 03:38:18.15 | -34:40:27.98 |  19.88 | -11.66 |     0.93 |       5.920 |    0.515 |
|            FCC210 |    54.580131 |   -36.065719 | 03:38:19.23 | -36:03:56.59 |  18.14 | -13.40 |     0.85 |       7.467 |    0.470 |
| NGFS033822-345537 |    54.593667 |   -34.926927 | 03:38:22.48 | -34:55:36.94 |  20.98 | -10.56 |     0.97 |       5.242 |    0.543 |
| NGFS033823-354537 |    54.595511 |   -35.760315 | 03:38:22.92 | -35:45:37.13 |  23.06 |  -8.48 |     0.37 |       1.736 |    0.597 |
| NGFS033825-360418 |    54.603971 |   -36.071598 | 03:38:24.95 | -36:04:17.75 |  22.93 |  -8.61 |     0.13 |       1.412 |    0.594 |
| NGFS033826-360545 |    54.606718 |   -36.095700 | 03:38:25.61 | -36:05:44.52 |  22.26 |  -9.28 |     1.05 |       1.233 |    0.576 |
| NGFS033827-350907 |    54.613447 |   -35.152073 | 03:38:27.23 | -35:09:07.46 |  20.45 | -11.09 |     1.65 |       6.778 |    0.529 |
| NGFS033831-344629 |    54.631123 |   -34.774638 | 03:38:31.47 | -34:46:28.70 |  20.97 | -10.57 |     0.81 |       2.764 |    0.543 |
|            FCC214 |    54.652580 |   -35.833946 | 03:38:36.62 | -35:50:02.21 |  18.46 | -13.08 |     0.79 |       5.071 |    0.478 |
| NGFS033842-353308 |    54.675859 |   -35.552130 | 03:38:42.21 | -35:33:07.67 |  19.28 | -12.26 |     0.77 |       4.447 |    0.499 |
| NGFS033847-345913 |    54.695702 |   -34.986876 | 03:38:46.97 | -34:59:12.75 |  21.69 |  -9.85 |     0.89 |       2.459 |    0.561 |
| NGFS033852-361804 |    54.716789 |   -36.301054 | 03:38:52.03 | -36:18:03.79 |  20.69 | -10.85 |     1.65 |       2.759 |    0.536 |
| NGFS033854-355912 |    54.725820 |   -35.986665 | 03:38:54.20 | -35:59:11.99 |  21.30 | -10.24 |     1.36 |       4.013 |    0.551 |
|            FCC220 |    54.729368 |   -35.237000 | 03:38:55.05 | -35:14:13.20 |  18.43 | -13.11 |     0.84 |       7.598 |    0.477 |
| NGFS033858-351105 |    54.739897 |   -35.184658 | 03:38:57.58 | -35:11:04.77 |  19.09 | -12.45 |     0.72 |       7.764 |    0.494 |
| NGFS033859-354428 |    54.745801 |   -35.741138 | 03:38:58.99 | -35:44:28.10 |  20.24 | -11.30 |     1.34 |       2.641 |    0.524 |
| NGFS033901-362019 |    54.753401 |   -36.338584 | 03:39:00.82 | -36:20:18.90 |  18.95 | -12.59 |     0.94 |       5.823 |    0.490 |
| NGFS033907-350722 |    54.779490 |   -35.122876 | 03:39:07.08 | -35:07:22.35 |  20.39 | -11.15 |     0.84 |       3.593 |    0.528 |
| NGFS033916-350021 |    54.816614 |   -35.005877 | 03:39:15.99 | -35:00:21.16 |  21.53 | -10.01 |     0.73 |       2.722 |    0.557 |
| NGFS033917-354645 |    54.822072 |   -35.779284 | 03:39:17.30 | -35:46:45.42 |  22.20 |  -9.34 |     0.38 |       1.623 |    0.575 |
| NGFS033922-353524 |    54.843638 |   -35.590022 | 03:39:22.47 | -35:35:24.08 |  19.33 | -12.21 |     1.08 |       2.762 |    0.500 |
| NGFS033929-353421 |    54.870451 |   -35.572583 | 03:39:28.91 | -35:34:21.30 |  19.92 | -11.62 |     0.70 |       8.384 |    0.516 |
| NGFS033932-360559 |    54.884181 |   -36.099673 | 03:39:32.20 | -36:05:58.82 |  20.06 | -11.48 |     0.65 |       5.549 |    0.519 |
| NGFS033942-353155 |    54.923359 |   -35.531899 | 03:39:41.61 | -35:31:54.84 |  19.89 | -11.65 |     0.99 |       5.505 |    0.515 |
| NGFS033942-352806 |    54.924988 |   -35.468362 | 03:39:42.00 | -35:28:06.10 |  20.87 | -10.67 |     1.32 |       7.427 |    0.540 |
| NGFS033946-361130 |    54.942303 |   -36.191657 | 03:39:46.15 | -36:11:29.97 |  21.62 |  -9.92 |     1.51 |       1.362 |    0.560 |
| NGFS033948-361111 |    54.950765 |   -36.186495 | 03:39:48.18 | -36:11:11.38 |  20.10 | -11.44 |     1.87 |       5.797 |    0.520 |
| NGFS033948-344624 |    54.950856 |   -34.773438 | 03:39:48.21 | -34:46:24.38 |  21.57 |  -9.97 |     1.27 |       1.510 |    0.558 |
|            FCC226 |    54.959189 |   -35.023227 | 03:39:50.21 | -35:01:23.62 |  17.42 | -14.12 |     0.57 |      20.230 |    0.451 |
| NGFS033951-360045 |    54.963183 |   -36.012438 | 03:39:51.16 | -36:00:44.78 |  21.23 | -10.31 |     0.77 |       3.650 |    0.550 |
|            FCC228 |    54.964090 |   -35.322073 | 03:39:51.38 | -35:19:19.46 |  18.31 | -13.23 |     0.73 |       9.234 |    0.474 |
| NGFS033953-360831 |    54.969000 |   -36.141946 | 03:39:52.56 | -36:08:31.01 |  20.95 | -10.59 |     0.70 |       3.777 |    0.542 |
| NGFS033955-344146 |    54.977090 |   -34.696146 | 03:39:54.50 | -34:41:46.13 |  19.52 | -12.02 |     0.71 |       3.911 |    0.505 |
| NGFS034000-360537 |    55.001275 |   -36.093656 | 03:40:00.31 | -36:05:37.16 |  19.98 | -11.56 |     1.20 |       7.966 |    0.517 |
| NGFS034002-352930 |    55.007240 |   -35.491627 | 03:40:01.74 | -35:29:29.86 |  22.80 |  -8.74 |     0.48 |       1.370 |    0.590 |
| NGFS034003-352920 |    55.013060 |   -35.488945 | 03:40:03.13 | -35:29:20.20 |  21.77 |  -9.77 |     1.31 |       1.307 |    0.563 |
| NGFS034003-352754 |    55.012990 |   -35.465073 | 03:40:03.12 | -35:27:54.26 |  19.94 | -11.60 |     0.49 |       9.636 |    0.516 |
| NGFS034003-362143 |    55.013096 |   -36.361876 | 03:40:03.14 | -36:21:42.75 |  23.55 |  -7.99 |     1.40 |       1.168 |    0.610 |
| NGFS034004-350422 |    55.018715 |   -35.072696 | 03:40:04.49 | -35:04:21.71 |  21.19 | -10.35 |     0.98 |       2.278 |    0.548 |
| NGFS034005-343907 |    55.021332 |   -34.652052 | 03:40:05.12 | -34:39:07.39 |  20.14 | -11.40 |     0.66 |       4.503 |    0.521 |
| NGFS034006-361402 |    55.025400 |   -36.233800 | 03:40:06.10 | -36:14:01.68 |  18.26 | -13.28 |     1.30 |      16.035 |    0.473 |
| NGFS034007-343554 |    55.028801 |   -34.598362 | 03:40:06.91 | -34:35:54.10 |  20.94 | -10.60 |     1.08 |       1.654 |    0.542 |
| NGFS034012-351720 |    55.052046 |   -35.288779 | 03:40:12.49 | -35:17:19.60 |  20.89 | -10.65 |     0.47 |       5.668 |    0.541 |
| NGFS034015-361608 |    55.060488 |   -36.269022 | 03:40:14.52 | -36:16:08.48 |  21.73 |  -9.81 |     1.06 |       1.623 |    0.562 |
| NGFS034018-360332 |    55.075265 |   -36.058877 | 03:40:18.06 | -36:03:31.96 |  21.80 |  -9.74 |     0.65 |       3.984 |    0.564 |
| NGFS034019-350815 |    55.077401 |   -35.137506 | 03:40:18.58 | -35:08:15.02 |  20.18 | -11.36 |     0.68 |       7.435 |    0.522 |
| NGFS034019-343233 |    55.078331 |   -34.542452 | 03:40:18.80 | -34:32:32.83 |  20.31 | -11.23 |     0.86 |       2.527 |    0.526 |
| NGFS034026-350013 |    55.109478 |   -35.003499 | 03:40:26.27 | -35:00:12.60 |  20.01 | -11.53 |     0.84 |       6.054 |    0.518 |
| NGFS034027-352512 |    55.111179 |   -35.419999 | 03:40:26.68 | -35:25:12.00 |  19.95 | -11.59 |     0.80 |       5.452 |    0.516 |
| NGFS034028-344710 |    55.118089 |   -34.786073 | 03:40:28.34 | -34:47:09.86 |  21.62 |  -9.92 |     0.22 |       3.430 |    0.560 |
| NGFS034034-355318 |    55.140092 |   -35.888292 | 03:40:33.62 | -35:53:17.85 |  20.27 | -11.27 |     0.71 |       5.481 |    0.525 |
| NGFS034037-352119 |    55.153440 |   -35.355145 | 03:40:36.83 | -35:21:18.52 |  20.31 | -11.23 |     0.48 |       8.342 |    0.526 |
| NGFS034041-345656 |    55.168829 |   -34.948950 | 03:40:40.52 | -34:56:56.22 |  18.72 | -12.82 |     0.72 |       7.769 |    0.485 |
|            FCC247 |    55.176865 |   -35.661430 | 03:40:42.45 | -35:39:41.15 |  17.37 | -14.17 |     0.66 |      10.152 |    0.450 |
|            FCC248 |    55.180586 |   -35.860774 | 03:40:43.34 | -35:51:38.79 |  18.02 | -13.52 |     0.86 |       5.134 |    0.466 |
| NGFS034044-353222 |    55.181661 |   -35.539524 | 03:40:43.60 | -35:32:22.29 |  22.15 |  -9.39 |     0.58 |       2.956 |    0.573 |
| NGFS034045-353007 |    55.188900 |   -35.502000 | 03:40:45.34 | -35:30:07.20 |  21.68 |  -9.86 |     0.67 |       3.485 |    0.561 |
| NGFS034050-352318 |    55.206793 |   -35.388438 | 03:40:49.63 | -35:23:18.38 |  21.81 |  -9.73 |     0.33 |       2.998 |    0.565 |
|            FCC251 |    55.207520 |   -35.023855 | 03:40:49.80 | -35:01:25.88 |  18.60 | -12.94 |     0.68 |       7.432 |    0.481 |
| NGFS034053-350704 |    55.220374 |   -35.117729 | 03:40:52.89 | -35:07:03.82 |  18.82 | -12.72 |     1.08 |       7.764 |    0.487 |
| NGFS034057-344248 |    55.236268 |   -34.713218 | 03:40:56.70 | -34:42:47.58 |  21.35 | -10.19 |     0.41 |       2.259 |    0.553 |
| NGFS034058-361959 |    55.242253 |   -36.332917 | 03:40:58.14 | -36:19:58.50 |  22.61 |  -8.93 |     0.55 |       2.272 |    0.585 |
|            FCC256 |    55.266001 |   -34.954146 | 03:41:03.84 | -34:57:14.93 |  19.13 | -12.41 |     0.68 |       6.065 |    0.495 |
|            FCC257 |    55.266536 |   -35.647586 | 03:41:03.97 | -35:38:51.31 |  17.43 | -14.11 |     0.99 |       6.175 |    0.451 |
| NGFS034106-353623 |    55.276093 |   -35.606365 | 03:41:06.26 | -35:36:22.91 |  22.55 |  -8.99 |     0.27 |       2.733 |    0.584 |
