CGF_7-1    3 40 04.39  -35 36 52.6  E(pec)    17.16    1.2  0.8  19.38  0.48  18.12  0.17  13.96   2.89               
CGF_7-16   3 40 08.60  -35 32 26.5  S?        20.35    1.0  0.6  20.85                          
CGF_7-13   3 40 09.68  -35 35 56.3  S         20.23    1.0  0.6  20.82                                   21.15  0.91  e
CGF_7-4    3 40 16.15  -35 33 14.2  Sb        19.03    1.1  0.7  20.24                                   20.41  0.94  e
CGF_7-12   3 40 16.32  -35 35 25.0  E         20.09 n  0.7              0.64  20.57  0.35  15.08   1.52               
CGF_7-17   3 40 16.75  -35 34 55.9  S(LSB?)   20.42    1.1  0.8  21.80                                   22.58  1.92  b
CGF_7-18   3 40 17.98  -35 32 27.0  Irr?      20.47 n  1.0  0.5  21.05                                   21.60  1.03  e
CGF_7-11   3 40 18.27  -35 35 29.7  E         20.06    0.6              0.40  18.22  0.02  14.62   1.01               
CGF_7-7    3 40 20.04  -35 38 27.6  E         19.44    0.7              0.51  19.35  0.14  14.83   1.66               
CGF_10-9   3 42 00.93  -35 25 43.7  E         19.42 n  1.0              0.51  18.70  0.09  13.53   0.88               
CGF_10-6   3 42 02.09  -35 23 45.8  Sc(BCD?)  18.85    1.4  0.7  20.21                                   20.11  0.87  e
CGF_10-12  3 42 02.27  -35 27 03.0  S/(dE?)   19.73 n  1.9  1.3  22.17                                   22.28  1.61  e
CGF_10-3   3 42  3.83  -35 26 47.3  Sa        18.41    2.1  1.5  20.90                                   20.94  1.83  b
CGF_10-2   3 42 05.42  -35 23 58.1  E         17.90    1.0              0.21  11.73  0.00  13.70   1.78               
CGF_10-4   3 42 06.13  -35 23 41.4  S0        18.65 n  1.2  0.4  19.50                                   20.27  1.02  d
CGF_10-13  3 42 10.91  -35 26 32.5  dE        19.93 n  3.5  3.1  24.60  1.23  25.16                      24.94  6.33  e
CGF_10-8   3 42 14.75  -35 26 17.4  Sb?       19.35    1.8  1.2  21.31                                   20.92  1.08  d
CGF_10-11  3 42 16.11  -35 20 21.0  (d)Irr?   19.72    2.6  2.1  22.82                                   22.76  2.11  d
CGF_10-19  3 42 16.74  -35 25 58.3  S?        20.25 n  1.6  1.0  21.73                          
CGF_10-17  3 42 17.24  -35 24 09.8  S0/E?     20.09 n  1.3  0.6  21.30                     15.24   1.58  22.03  1.08  e
CGF_10-1   3 42 19.01  -35 23 47.2  Sb?       16.87 n  1.5  0.8  19.30                                   20.20  1.99  b
CGF_10-18  3 42 19.91  -35 23 33.0  ?         20.09 n  2.1  1.6  21.96                           
CGF_10-15  3 42 20.02  -35 26 14.7  S         20.07    1.9  1.3  21.99                                   21.44  1.00  d
CGF_10-10  3 42 22.09  -35 23 23.7  S         19.58 n  1.3  0.5  20.70                                   21.41  1.11  e
CGF_10-14  3 42 22.09  -35 23 04.3  S?        19.94 n  1.4  0.7  21.24                                   21.46  1.01  b
CGF_10-16  3 42 22.65  -35 23 22.6  S         20.08 n  1.8  1.2  21.83                                   21.74  1.38  d
CGF_10-5   3 42 27.62  -35 27 01.1  Sc?       18.68    1.8  1.2  20.92                                   20.69  1.31  d
CGF_10-20  3 42 31.48  -35 22 41.8  S?        20.31    1.7  1.1  22.29                                   22.31  1.29  e
CGF_11-23  3 45 56.22  -35 24 34.5  S?        20.49    1.0  0.5  21.13                           
CGF_11-22  3 45 56.47  -35 27 49.3  Irr       20.44    1.4  1.0  22.26                         
CGF_11-21  3 45 58.25  -35 26 08.1  S?        20.37    1.1  0.7  21.36                            
CGF_11-20  3 46 00.45  -35 24 47.7  S         20.37    1.0  0.6  21.48                                   22.09  1.13  e
CGF_11-8   3 46 05.05  -35 27 37.6  E/S0?     19.65    0.9  0.4  20.44  0.25  13.99  0.00  13.97   1.03  21.87  1.12  
